customer_id,customer_unique_id,customer_name,customer_email,customer_phone,customer_city,customer_state,customer_pincode,customer_since
CUST00001,UCUST00001,Gaurav Tiwari,user1@email.com,9184874773,Kochi,Kerala,754347,2022-03-06
CUST00002,UCUST00002,Lakshmi Iyer,user2@email.com,9882548873,Nagpur,Maharashtra,540586,2021-11-06
CUST00003,UCUST00003,Aditi Malhotra,user3@email.com,9133340561,Coimbatore,Tamil Nadu,828116,2022-02-16
CUST00004,UCUST00004,Ishaan Saxena,user4@email.com,9535928079,Bengaluru,Karnataka,409396,2019-03-15
CUST00005,UCUST00005,Mohan Mehta,user5@email.com,9154989183,Kollam,Kerala,769091,2022-07-19
CUST00006,UCUST00006,Zara Rao,user6@email.com,9103051512,Janakpuri,Delhi,647033,2021-03-22
CUST00007,UCUST00007,Pankaj Saxena,user7@email.com,9348216009,Jaipur,Rajasthan,228190,2022-03-13
CUST00008,UCUST00008,Lakshmi Malhotra,user8@email.com,9106478340,Mumbai,Maharashtra,918329,2022-04-22
CUST00009,UCUST00009,Gaurav Joshi,user9@email.com,9904866211,Coimbatore,Tamil Nadu,742871,2022-02-27
CUST00010,UCUST00010,Meera Rao,user10@email.com,9670319587,Khammam,Telangana,223791,2020-06-20
CUST00011,UCUST00011,Sanjay Tiwari,user11@email.com,,Aurangabad,Maharashtra,764803,2021-12-20
CUST00012,UCUST00012,Tanvi Malhotra,user12@email.com,9727383632,Salem,Tamil Nadu,928555,2021-09-30
CUST00013,UCUST00013,Tanvi Saxena,user13@email.com,9608418803,Jodhpur,Rajasthan,432480,2019-05-05
CUST00014,UCUST00014,Vijay Kumar,user14@email.com,9340335635,Siliguri,West Bengal,732057,2021-04-02
CUST00015,UCUST00015,Vikram Joshi,user15@email.com,9618150502,Lucknow,Uttar Pradesh,616171,2019-01-26
CUST00016,UCUST00016,Lakshmi Kumar,user16@email.com,9147091011,Faridabad,Haryana,622069,2020-08-29
CUST00017,UCUST00017,Neha Sharma,user17@email.com,9517603417,Jabalpur,Madhya Pradesh,,2022-05-04
